id_ets_seo_redirect;name;url;target;type;active;id_shop
119;;achat/cat-plexiglas-coule-9.html;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
120;;echantillons-32/echantillon-pvc-expanse-blanc-3mm-330.html;https://www.plexi-cindar.com/pvc-expanse/514-pvc-expanse-blanc-2mm.html;301;1;1
121;;echantillons-32/echantillon-pvc-expanse-blanc-3mm-332.html;https://www.plexi-cindar.com/pvc-expanse/514-pvc-expanse-blanc-2mm.html;301;1;1
122;;achat/cat-consommables-et-echantillons-41.html?tri=nom_fr&sort=asc&page=8;https://www.plexi-cindar.com/35-produits-standards;301;1;1
123;;achat/?tri=nom_fr&sort=asc&page=13;https://www.plexi-cindar.com/;301;1;1
124;;achat/cat-echantillons-32.html?tri=prix&sort=desc&page=7;https://www.plexi-cindar.com/35-produits-standards;301;1;1
125;;pmma-coule-transparent-incolore-13/pmma-coule-incolore-plexiglas-12-44.html;https://www.plexi-cindar.com/plexiglas/428-pmma-coule-incolore-plexiglas-.html;301;1;1
126;;achat/?tri=prix&sort=asc&page=2;https://www.plexi-cindar.com/;301;1;1
127;;pvc-expanse-4/pvc-expanse-blanc-15-mm-prix-au-151.html;https://www.plexi-cindar.com/pvc-expanse/521-pvc-expanse-blanc-2mm.html;301;1;1
128;;pmma-coule-transparent-incolore-13/pmma-coule-incolore-plexiglas-5-40.html;https://www.plexi-cindar.com/plexiglas/424-pmma-coule-incolore-plexiglas-.html;301;1;1
129;;achat/?page=2;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
130;;echantillons-32/echantillon-pvc-expanse-blanc-3mm-327.html;https://www.plexi-cindar.com/pvc-expanse/514-pvc-expanse-blanc-2mm.html;301;1;1
131;;echantillons-32/echantillon-pmma-blanc-coule-dual-401.html;https://www.plexi-cindar.com/plexiglas/455-pmma-coule-blanc-dual-satin-altuglas-145-27014-3mm.html;301;1;1
132;;echantillons-32/echantillon-pmma-xt-incolore-8mm-425.html;https://www.plexi-cindar.com/plexiglas/426-pmma-coule-incolore-plexiglas-.html;301;1;1
133;;plan_acces.php;https://www.plexi-cindar.com/content/17-plan-acces;301;1;1
134;;echantillons-32/echantillon-pmma-xt-incolore-3mm-425.html;https://www.plexi-cindar.com/plexiglas/357-pmma-extrude-incolore.html;301;1;1
135;;achat/?page=14;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
136;;achat/?page=10;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
137;;achat/?tri=prix&sort=desc&page=11;https://www.plexi-cindar.com/;301;1;1
138;;achat/?tri=prix&sort=desc&page=3;https://www.plexi-cindar.com/;301;1;1
139;;echantillons-32/echantillon-pmma-incolore-coule-408.html;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
140;;achat/cat-plaques-plastiques-sur-mesure-40.html?page=7;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
141;;achat/cat-echantillons-32.html?tri=prix&sort=asc&page=7;https://www.plexi-cindar.com/;301;1;1
142;;pmma-coule-opaque-15/pmma-coule-blanc-opaque-altuglas-76.html;https://www.plexi-cindar.com/plexiglas-noir/367-pmma-coule-blanc-opaque-altuglas-100-47010-3mm.html;301;1;1
143;;achat/?tri=nom_fr&sort=asc&page=10;https://www.plexi-cindar.com/;301;1;1
144;;achat/cat-pmma-coule-transparent-colore-altuglas-16.html?tri=nom_fr&sort=asc;https://www.plexi-cindar.com/12-plexiglas-teinte;301;1;1
145;;echantillons-32/echantillon-pmma-incolore-altuglas-408.html;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
146;;achat/cat-echantillons-32.html?page=7;https://www.plexi-cindar.com/;301;1;1
